NIM,Angkatan,Semester,IPK,SKS_Lulus,Mengulang,Absensi,Status_Pembayaran,Status_DO
20220605,2021,6,3.68,86,0,77,1,0
20220606,2021,6,3.52,124,0,97,0,0
20220607,2022,8,2.93,85,0,91,1,0
20220608,2022,7,2.62,97,4,66,0,1
20220609,2023,7,2.47,134,3,82,1,0
20220610,2022,3,2.05,110,3,82,1,1
20220611,2023,7,2.01,120,0,77,1,0
20220612,2022,6,3.18,122,1,66,1,0
20220613,2021,6,2.32,78,1,99,1,0
20220614,2023,4,2.31,42,3,83,1,1
20220615,2023,7,3.8,69,3,73,1,1
20220616,2021,2,2.18,74,2,64,1,1
20220617,2023,2,2.1,96,3,81,0,1
20220618,2023,4,2.0,68,0,81,0,1
20220619,2022,4,2.96,89,4,69,0,1
20220620,2023,4,3.06,101,3,85,0,1
20220621,2021,2,2.53,91,3,74,1,1
20220622,2022,6,2.87,53,0,97,1,0
20220623,2022,4,3.38,74,2,60,0,1
20220624,2021,3,3.44,67,3,73,0,1
20220625,2021,8,3.72,97,1,95,1,0
20220626,2022,4,3.45,69,1,90,0,1
20220627,2023,8,2.93,129,1,87,1,0
20220628,2022,5,2.16,46,4,93,0,1
20220629,2021,4,2.0,78,4,94,1,1
20220630,2022,2,1.91,134,3,98,1,1
20220631,2021,7,3.13,108,3,82,0,1
20220632,2022,4,3.42,74,3,78,0,1
20220633,2023,7,2.82,91,4,77,1,0
20220634,2022,5,1.91,53,3,74,0,1
20220635,2022,3,2.87,102,0,60,0,1
20220636,2021,7,3.67,75,2,84,1,0
20220637,2021,8,3.0,130,1,85,0,0
20220638,2021,6,3.42,63,1,94,0,0
20220639,2022,4,3.4,79,0,74,1,0
20220640,2023,5,3.66,68,3,63,1,1
20220641,2021,5,3.34,92,4,74,1,1
20220642,2021,7,3.3,61,3,97,0,1
20220643,2022,3,2.27,111,3,98,1,1
20220644,2021,2,1.92,54,1,60,0,1
20220645,2023,4,2.84,108,1,81,0,0
20220646,2023,5,2.05,103,4,70,0,1
20220647,2021,3,3.72,43,1,97,0,0
20220648,2021,6,2.38,114,3,96,1,1
20220649,2022,5,3.51,57,0,85,0,0
20220650,2023,3,2.58,81,4,86,0,1
20220651,2023,2,2.45,69,0,72,0,1
20220652,2021,2,3.67,54,3,66,1,1
20220653,2022,5,2.53,109,4,67,1,1
20220654,2023,8,2.58,94,0,82,1,0
20220655,2023,5,2.01,92,4,85,0,1
20220656,2022,7,3.14,55,3,86,0,1
20220657,2022,4,2.38,112,4,68,1,1
20220658,2023,3,2.97,73,3,97,1,0
20220659,2023,5,2.98,66,4,72,0,1
20220660,2022,4,3.24,52,4,66,1,1
20220661,2023,7,3.29,139,1,70,0,1
20220662,2021,4,2.83,66,3,69,1,1
20220663,2021,5,2.46,112,2,92,0,0
20220664,2022,2,3.47,108,4,98,0,1
20220665,2022,3,2.42,125,0,62,0,1
20220666,2022,3,2.82,70,1,88,1,0
20220667,2021,2,2.6,42,1,96,1,0
20220668,2023,8,3.51,69,4,75,0,1
20220669,2021,5,2.66,60,2,75,1,0
20220670,2023,3,2.57,138,1,66,0,1
20220671,2021,5,3.18,45,3,74,1,1
20220672,2023,7,3.0,131,4,97,1,0
20220673,2021,5,2.01,71,4,65,0,1
20220674,2022,4,2.82,81,2,77,1,0
20220675,2021,2,3.27,101,3,78,1,0
20220676,2023,8,3.78,128,3,61,0,1
20220677,2021,5,3.06,71,2,62,0,1
20220678,2021,8,2.54,138,0,84,0,0
20220679,2021,8,2.25,125,3,95,0,1
20220680,2022,7,3.55,127,0,87,1,0
20220681,2021,6,3.43,78,0,97,1,0
20220682,2022,2,2.27,103,4,87,0,1
20220683,2022,8,2.2,69,4,91,1,1
20220684,2021,3,3.23,102,1,95,0,0
20220685,2021,4,2.43,135,4,98,0,1
20220686,2021,3,2.41,70,3,95,0,1
20220687,2023,7,2.1,126,3,82,1,1
20220688,2021,7,2.33,79,0,61,1,1
20220689,2022,3,2.66,72,3,69,1,1
20220690,2021,2,3.27,102,4,65,0,1
20220691,2023,3,2.47,64,4,67,0,1
20220692,2021,5,2.46,75,4,74,1,1
20220693,2023,3,2.37,63,2,88,1,0
20220694,2023,4,2.76,134,3,87,1,0
20220695,2021,4,2.16,97,1,81,1,0
20220696,2022,6,2.77,78,3,93,0,1
20220697,2023,4,3.21,85,3,79,1,0
20220698,2021,3,1.86,116,2,92,1,0
20220699,2021,4,1.82,49,3,74,0,1
20220700,2022,2,1.95,126,0,66,1,1
20220701,2023,8,2.87,121,4,83,1,0
20220702,2023,4,3.51,71,4,85,1,0
20220703,2021,5,1.81,136,2,69,0,1
20220704,2021,2,3.67,75,4,74,0,1
20220705,2022,6,2.01,67,0,96,1,0
20220706,2022,5,3.48,55,2,83,0,0
20220707,2023,3,2.77,55,1,70,1,0
20220708,2023,8,3.12,57,4,99,1,0
20220709,2021,3,2.82,47,3,80,0,1
20220710,2023,8,2.75,119,0,99,1,0
20220711,2022,8,3.47,114,0,97,0,0
20220712,2022,3,3.31,109,4,74,0,1
20220713,2021,5,2.77,40,1,74,0,1
20220714,2022,5,2.02,101,3,96,1,1
20220715,2022,8,2.03,115,1,73,1,1
20220716,2022,5,3.4,77,1,80,1,0
20220717,2022,8,2.86,131,4,79,1,0
20220718,2021,8,2.76,84,3,92,0,1
20220719,2021,2,3.16,97,4,62,1,1
20220720,2023,7,3.52,120,4,99,1,1
20220721,2022,2,3.06,40,0,82,0,0
20220722,2023,3,3.33,71,4,82,0,1
20220723,2021,7,3.33,47,2,86,1,0
20220724,2021,4,2.51,79,3,94,0,1
20220725,2021,3,2.35,95,0,84,1,0
20220726,2021,6,3.4,102,3,91,1,1
20220727,2021,2,2.55,127,0,81,0,0
20220728,2021,5,3.61,113,2,67,0,1
20220729,2021,2,1.94,113,4,97,1,1
20220730,2022,5,1.92,75,0,77,1,0
20220731,2023,7,3.65,128,0,87,1,0
20220732,2021,6,3.1,96,0,87,1,0
20220733,2022,7,2.56,113,2,70,1,0
20220734,2022,6,3.31,122,3,71,0,1
20220735,2023,2,3.14,84,2,61,1,0
20220736,2021,5,2.86,118,0,96,0,0
20220737,2023,7,2.0,119,0,63,0,1
20220738,2021,6,3.42,41,4,93,0,1
20220739,2022,8,3.53,132,2,82,1,0
20220740,2022,3,2.14,107,2,72,1,1
20220741,2022,3,3.5,89,1,66,0,1
20220742,2022,7,3.56,68,3,91,0,1
20220743,2023,5,2.9,134,1,82,0,0
20220744,2021,8,3.11,120,1,67,0,1
20220745,2021,7,2.56,49,3,96,0,1
20220746,2023,2,2.36,66,4,93,1,1
20220747,2021,6,3.24,54,4,88,0,1
20220748,2022,2,3.52,99,3,96,1,0
20220749,2021,3,3.11,70,3,82,0,1
20220750,2022,6,2.82,60,2,97,0,0
20220751,2023,7,2.12,99,2,88,1,0
20220752,2021,2,1.91,97,2,64,1,1
20220753,2023,4,2.69,80,2,99,0,0
20220754,2021,5,1.9,85,0,70,1,1
20220755,2022,8,2.94,84,0,73,1,0
20220756,2023,8,2.57,65,4,61,0,1
20220757,2021,5,3.31,90,0,94,0,0
20220758,2022,4,2.41,75,0,94,0,0
20220759,2023,3,2.99,91,2,87,1,0
20220760,2023,6,2.88,120,2,67,0,1
20220761,2021,5,1.81,90,3,91,0,1
20220762,2021,4,1.94,42,2,63,1,1
20220763,2021,7,2.38,53,3,66,0,1
20220764,2022,8,3.56,88,3,98,1,0
20220765,2021,4,2.09,116,0,86,1,0
20220766,2023,3,3.22,130,2,96,0,0
20220767,2023,3,3.75,40,0,76,1,0
20220768,2021,2,3.38,96,2,69,1,0
20220769,2021,5,2.29,56,0,63,0,1
20220770,2023,2,3.62,89,0,82,1,0
20220771,2022,8,1.99,137,0,73,0,1
20220772,2021,4,2.74,53,4,64,0,1
20220773,2021,6,3.58,98,0,61,0,1
20220774,2023,6,3.08,120,1,83,0,0
20220775,2021,3,2.63,42,1,77,0,0
20220776,2022,6,2.39,137,1,86,1,1
20220777,2023,6,2.55,79,3,83,1,0
20220778,2021,8,2.82,128,0,88,1,0
20220779,2023,6,2.44,105,1,70,0,1
20220780,2021,4,3.74,73,3,77,0,1
20220781,2021,6,3.67,129,1,63,0,1
20220782,2021,7,3.54,134,2,92,0,0
20220783,2022,6,2.64,48,4,73,1,1
20220784,2022,6,3.18,133,0,91,1,0
20220785,2023,2,3.61,123,4,63,0,1
20220786,2021,4,3.5,60,4,79,0,1
20220787,2021,3,2.63,132,2,80,0,1
20220788,2022,2,2.02,64,2,62,1,1
20220789,2021,5,1.95,83,2,84,1,0
20220790,2022,4,2.95,64,3,63,0,1
20220791,2021,7,3.09,48,1,70,0,1
20220792,2023,4,3.5,101,0,75,1,0
20220793,2021,5,2.39,65,2,95,1,0
20220794,2021,5,2.13,96,0,65,0,1
20220795,2022,5,2.56,76,0,90,0,0
20220796,2021,8,2.51,55,0,99,0,0
20220797,2021,3,2.06,76,2,72,1,1
20220798,2022,6,3.14,115,2,82,0,0
20220799,2023,4,2.82,63,1,63,1,0
20220800,2023,8,3.24,65,2,96,0,0
20220801,2022,6,2.51,59,2,96,0,0
20220802,2022,6,2.45,48,0,92,0,0
20220803,2022,7,2.75,126,1,88,1,0
20220804,2022,5,3.55,68,4,96,0,1
20220805,2022,3,1.88,70,2,78,1,1
20220806,2023,7,3.41,58,2,79,0,0
20220807,2023,2,2.54,59,4,91,1,0
20220808,2022,8,3.51,126,0,75,0,0
20220809,2021,8,3.4,66,1,64,1,0
20220810,2022,3,2.5,133,0,71,0,1
20220811,2021,6,3.19,124,3,80,1,0
20220812,2022,8,2.12,83,2,73,1,1
20220813,2022,3,3.59,74,3,96,0,1
20220814,2023,8,2.61,110,2,81,1,0
20220815,2021,8,2.71,61,3,89,1,0
20220816,2021,5,3.21,113,4,82,0,1
20220817,2023,2,3.44,126,2,64,1,0
20220818,2023,5,2.27,54,2,88,0,1
20220819,2023,2,3.12,133,3,89,0,1
20220820,2023,8,2.58,137,1,77,1,0
20220821,2021,7,2.54,52,3,60,1,1
20220822,2021,6,3.18,43,2,98,1,0
20220823,2022,8,2.57,121,2,76,1,0
20220824,2022,2,2.49,95,1,62,1,0
20220825,2023,2,3.47,62,0,66,0,1
20220826,2023,2,2.0,136,1,86,0,1
20220827,2023,8,3.15,137,0,87,1,0
20220828,2022,3,2.3,73,2,90,1,0
20220829,2022,7,1.83,139,4,74,1,1
20220830,2022,3,2.13,138,4,67,1,1
20220831,2022,6,3.01,56,3,65,1,1
20220832,2022,8,3.22,67,1,87,0,0
20220833,2022,2,1.84,53,1,63,0,1
20220834,2022,7,1.87,73,4,89,0,1
20220835,2023,7,3.61,114,0,76,1,0
20220836,2023,4,1.95,96,1,93,1,0
20220837,2023,6,3.59,116,0,65,1,0
20220838,2023,7,2.26,136,0,95,0,1
20220839,2022,8,3.28,94,0,94,0,0
20220840,2021,2,2.42,105,0,98,0,0
20220841,2022,2,3.52,137,3,98,0,1
20220842,2021,7,3.2,132,3,75,1,0
20220843,2023,3,2.6,76,4,61,1,1
20220844,2022,6,1.95,107,3,67,1,1
20220845,2023,2,3.27,115,1,74,1,0
20220846,2022,7,3.03,65,3,86,1,0
20220847,2023,2,1.81,100,1,75,1,0
20220848,2021,7,1.82,131,1,60,0,1
20220849,2021,6,3.42,106,0,69,1,0
20220850,2021,7,2.32,123,4,66,1,1
20220851,2022,4,3.07,113,0,69,1,0
20220852,2021,7,2.71,91,0,71,1,0
20220853,2022,7,3.53,57,3,76,1,0
20220854,2021,8,3.63,92,3,71,1,1
20220855,2021,6,3.79,102,1,74,1,0
20220856,2022,8,2.11,92,3,91,1,1
20220857,2022,7,3.53,66,3,91,0,1
20220858,2021,6,2.33,70,2,85,0,1
20220859,2022,4,2.98,130,1,73,0,1
20220860,2021,6,2.81,40,1,85,1,0
20220861,2022,2,1.84,45,2,64,0,1
20220862,2023,8,3.67,50,1,97,1,0
20220863,2023,6,1.96,73,4,63,0,1
20220864,2023,4,3.18,123,4,87,0,1
20220865,2023,5,3.37,102,2,60,1,0
20220866,2023,7,3.39,92,3,72,1,1
20220867,2021,6,2.07,124,4,62,1,1
20220868,2023,7,2.7,124,2,84,1,0
20220869,2023,3,3.46,57,4,75,0,1
20220870,2023,2,2.41,60,0,80,0,0
20220871,2023,8,2.74,58,2,72,1,0
20220872,2022,2,2.35,43,1,95,0,1
20220873,2021,3,2.73,116,4,67,0,1
20220874,2023,3,3.58,121,1,78,0,0
20220875,2023,8,2.71,68,2,75,1,0
20220876,2023,6,2.91,64,4,71,1,1
20220877,2021,3,2.61,95,1,79,1,0
20220878,2022,5,2.72,116,3,77,0,1
20220879,2021,7,1.83,102,3,71,1,1
20220880,2022,7,2.37,66,0,84,1,0
20220881,2023,4,2.67,99,2,70,0,1
20220882,2023,3,3.07,122,1,81,1,0
20220883,2021,3,2.7,88,0,93,1,0
20220884,2021,5,2.48,104,2,72,1,0
20220885,2022,2,2.58,77,3,97,0,1
20220886,2022,2,2.28,122,1,71,1,1
20220887,2021,7,3.65,91,4,98,0,1
20220888,2022,7,2.84,40,3,95,0,1
20220889,2021,6,1.83,79,4,87,0,1
20220890,2022,8,1.84,120,4,86,0,1
20220891,2021,5,3.75,60,1,98,0,0
20220892,2021,8,2.24,125,1,72,0,1
20220893,2021,8,3.41,54,4,99,1,1
20220894,2022,4,1.92,89,0,86,1,0
20220895,2022,8,3.64,87,4,90,0,1
20220896,2022,4,3.55,71,4,61,0,1
20220897,2021,8,2.94,88,1,77,1,0
20220898,2022,5,1.82,107,2,85,1,0
20220899,2022,4,2.32,84,3,90,1,1
20220900,2021,2,2.61,71,1,97,0,0
20220901,2023,4,2.72,43,0,81,0,0
20220902,2021,4,2.4,104,3,95,1,0
20220903,2022,5,1.87,136,1,78,0,1
20220904,2021,5,2.98,110,1,73,0,1
20220905,2023,4,2.85,112,2,73,0,1
20220906,2021,3,2.37,104,0,88,0,1
20220907,2022,5,1.88,119,0,76,1,0
20220908,2023,6,3.79,57,1,96,0,1
20220909,2022,6,2.76,93,2,68,0,1
20220910,2023,2,3.31,86,1,60,0,1
20220911,2023,8,2.7,45,4,63,0,1
20220912,2021,4,1.89,105,4,66,1,1
20220913,2021,3,2.42,48,2,70,0,1
20220914,2022,2,2.44,107,1,73,0,1
20220915,2021,4,3.48,62,2,78,1,0
20220916,2021,5,3.11,82,1,99,0,0
20220917,2023,6,2.35,90,1,62,0,1
20220918,2021,7,3.74,111,4,67,0,1
20220919,2023,3,2.44,64,3,88,0,1
20220920,2023,7,3.8,119,0,96,1,0
20220921,2023,6,3.79,74,0,68,1,0
20220922,2022,8,2.18,56,2,78,1,0
20220923,2022,8,2.43,57,0,71,0,1
20220924,2022,7,2.77,66,4,86,0,1
20220925,2023,5,3.13,54,3,96,1,0
20220926,2022,4,2.86,120,1,84,1,0
20220927,2022,5,3.74,108,1,97,0,0
20220928,2021,7,3.25,119,4,76,0,1
20220929,2022,5,2.22,54,0,92,0,1
20220930,2022,6,2.01,81,1,98,0,1
20220931,2023,3,3.18,73,0,73,0,1
20220932,2023,5,2.12,87,4,87,0,1
20220933,2023,6,3.38,122,1,77,0,0
20220934,2023,3,2.42,47,2,92,0,0
20220935,2023,8,2.45,49,3,74,0,1
20220936,2023,4,1.82,44,0,70,0,1
20220937,2022,7,3.2,87,0,95,1,0
20220938,2023,8,2.03,65,0,74,0,1
20220939,2023,4,3.35,125,0,89,0,0
20220940,2021,8,2.78,62,4,74,0,1
20220941,2022,2,3.37,101,4,82,1,0
20220942,2022,8,2.97,52,4,74,0,1
20220943,2022,6,1.96,48,4,88,1,1
20220944,2023,3,3.33,59,1,70,0,1
20220945,2023,8,1.94,131,4,77,1,1
20220946,2023,5,2.76,96,1,99,1,0
20220947,2021,4,2.14,63,2,90,0,1
20220948,2023,8,3.3,72,4,68,1,1
20220949,2021,3,3.62,59,2,81,1,0
20220950,2022,6,2.91,99,4,70,0,1
20220951,2023,2,2.85,87,2,76,0,0
20220952,2021,4,3.33,103,3,92,0,1
20220953,2021,7,1.81,69,2,70,0,1
20220954,2023,3,3.64,112,1,98,0,0
20220955,2022,7,2.19,56,0,67,0,1
20220956,2022,3,3.77,139,2,63,1,0
20220957,2022,3,3.27,53,0,95,1,0
20220958,2021,6,3.35,58,3,78,0,1
20220959,2021,6,3.11,110,3,83,0,1
20220960,2021,6,2.74,98,1,77,0,0
20220961,2021,8,2.94,106,1,92,0,0
20220962,2022,5,1.89,136,2,95,1,0
20220963,2023,3,3.05,83,4,69,1,1
20220964,2021,4,3.05,71,3,73,0,1
20220965,2021,7,3.58,50,0,66,1,0
20220966,2022,6,2.81,41,4,71,1,1
20220967,2023,8,1.95,129,3,81,0,1
20220968,2023,6,2.41,107,2,86,0,0
20220969,2022,7,3.11,56,3,96,1,0
20220970,2022,7,2.28,120,1,70,0,1
20220971,2023,3,2.36,131,0,95,0,1
20220972,2021,6,3.44,133,0,72,0,1
20220973,2023,7,2.97,79,1,91,1,0
20220974,2022,5,2.82,126,4,67,1,1
20220975,2021,5,2.44,85,1,66,1,0
20220976,2021,6,3.26,127,0,76,1,0
20220977,2022,8,2.38,132,2,81,0,1
20220978,2022,7,3.27,43,4,93,0,1
20220979,2022,3,1.94,77,3,79,1,1
20220980,2023,3,3.53,102,2,67,1,0
20220981,2023,8,2.8,68,4,81,0,1
20220982,2021,3,2.68,58,0,86,1,0
20220983,2022,2,3.02,130,0,93,1,0
20220984,2021,6,3.05,68,2,80,1,0
20220985,2021,3,2.06,139,4,74,1,1
20220986,2021,5,3.31,74,3,64,1,1
20220987,2021,7,2.35,109,3,97,1,1
20220988,2022,4,3.61,62,1,76,1,0
20220989,2021,8,3.44,85,2,67,0,1
20220990,2022,4,2.49,83,4,78,0,1
20220991,2022,3,3.42,87,2,64,0,1
20220992,2023,4,2.51,91,3,82,1,0
20220993,2022,4,2.0,47,4,78,0,1
20220994,2023,2,3.72,94,0,73,0,1
20220995,2022,5,3.11,105,0,69,0,1
20220996,2022,8,2.71,116,4,90,0,1
20220997,2022,5,2.6,79,2,72,1,0
20220998,2023,2,2.45,124,2,81,0,0
20220999,2023,2,3.76,70,0,96,0,1
20221000,2021,4,2.07,87,0,98,0,1
20221001,2023,6,2.43,139,3,69,0,1
20221002,2023,7,2.77,100,4,90,1,0
20221003,2023,7,2.76,91,2,94,1,0
20221004,2023,4,2.74,77,3,72,0,1
20221005,2021,7,2.15,130,2,89,0,1
20221006,2023,2,2.09,75,0,93,0,1
20221007,2022,5,2.31,126,4,95,0,1
20221008,2022,7,3.63,94,1,94,1,0
20221009,2023,8,2.03,124,4,63,1,1
20221010,2023,4,3.31,52,1,63,0,1
20221011,2022,6,3.32,76,3,65,1,1
20221012,2022,4,3.42,86,1,87,1,0
20221013,2021,3,3.57,129,1,89,0,1
20221014,2022,4,2.33,110,3,86,0,1
20221015,2022,2,2.25,61,4,64,1,1
20221016,2023,5,2.73,78,3,98,1,0
20221017,2022,5,2.33,126,0,94,1,0
20221018,2021,8,3.27,97,0,98,0,0
20221019,2022,7,3.07,69,1,74,0,1
20221020,2023,2,3.55,57,3,78,0,1
20221021,2023,3,1.97,57,3,89,0,1
20221022,2022,2,3.63,113,3,97,1,0
20221023,2023,4,2.39,78,4,91,0,1
20221024,2021,2,2.78,133,2,99,1,0
20221025,2021,2,2.68,65,2,88,1,0
20221026,2022,8,3.32,110,2,65,1,0
20221027,2022,3,2.64,46,4,85,1,0
20221028,2022,4,3.69,108,3,86,0,1
20221029,2023,6,3.61,104,2,94,1,0
20221030,2021,8,3.54,85,3,87,1,0
20221031,2021,6,1.94,57,1,64,0,1
20221032,2023,8,3.51,52,2,75,1,0
20221033,2021,5,3.36,64,1,77,0,0
20221034,2022,8,2.01,47,4,72,0,1
20221035,2022,7,2.01,113,0,84,0,1
20221036,2022,2,2.0,71,4,69,0,1
20221037,2021,5,1.82,56,4,88,1,1
20221038,2022,3,2.9,118,4,69,0,1
20221039,2023,6,3.75,118,2,65,1,0
20221040,2023,8,2.68,87,1,75,1,0
20221041,2021,2,2.88,102,2,84,0,0
20221042,2023,3,3.74,79,0,63,1,0
20221043,2023,7,2.31,123,4,96,1,1
20221044,2021,3,3.52,54,3,93,1,0
20221045,2022,2,2.89,138,0,78,0,0
20221046,2022,7,2.94,45,1,92,1,0
20221047,2022,3,2.49,133,0,63,0,1
20221048,2021,7,2.92,102,2,93,0,0
20221049,2023,8,1.95,47,3,71,0,1
20221050,2022,8,3.33,134,2,90,1,0
20221051,2022,2,2.37,71,4,75,1,1
20221052,2021,2,3.58,84,4,61,1,1
20221053,2022,7,2.54,91,0,61,0,1
20221054,2021,4,2.09,118,4,95,1,1
20221055,2023,5,3.19,121,4,65,0,1
20221056,2021,3,2.13,52,1,82,0,1
20221057,2021,3,3.31,63,1,98,1,0
20221058,2021,4,3.74,79,2,96,1,0
20221059,2021,4,3.36,53,2,75,0,1
20221060,2023,4,1.84,131,1,78,0,1
20221061,2023,6,3.0,114,0,83,1,0
20221062,2022,6,3.19,109,1,86,1,0
20221063,2023,7,3.45,101,2,66,1,0
20221064,2023,6,1.91,128,3,89,0,1
20221065,2022,8,2.76,100,4,73,1,1
20221066,2023,8,2.87,40,3,74,1,1
20221067,2021,2,2.14,128,3,71,0,1
20221068,2021,7,2.44,105,4,88,0,1
20221069,2022,3,2.68,71,1,82,1,0
20221070,2022,5,3.47,52,0,72,1,1
20221071,2022,2,3.66,72,3,68,1,1
20221072,2021,3,3.06,71,0,83,0,0
20221073,2023,3,2.59,95,2,98,1,0
20221074,2021,7,2.31,63,3,89,0,1
20221075,2022,4,3.76,130,2,60,1,0
20221076,2023,4,3.77,43,1,69,0,1
20221077,2023,2,3.65,127,3,97,1,0
20221078,2021,4,3.37,62,2,74,1,0
20221079,2022,3,2.45,68,2,68,1,0
20221080,2021,4,3.43,137,1,72,0,1
20221081,2023,6,2.62,60,0,82,0,0
20221082,2021,4,2.45,69,0,92,0,0
20221083,2021,3,3.29,129,3,68,0,1
20221084,2022,7,1.96,59,1,62,1,1
20221085,2022,2,1.9,55,3,89,0,1
20221086,2023,5,2.7,106,0,68,0,1
20221087,2021,4,2.69,88,1,84,1,0
20221088,2021,8,3.59,97,4,83,0,1
20221089,2021,8,2.05,83,1,91,1,0
20221090,2023,3,2.05,64,1,66,0,1
20221091,2023,5,2.09,62,4,95,0,1
20221092,2022,5,1.86,98,2,84,1,0
20221093,2022,6,1.94,40,2,79,1,0
20221094,2022,5,3.12,136,2,76,1,0
20221095,2021,8,2.66,54,0,95,1,0
20221096,2021,7,3.33,120,1,85,0,0
20221097,2022,3,3.79,137,4,78,0,1
20221098,2021,3,3.12,120,0,96,1,0
20221099,2022,4,1.9,91,4,62,1,1
20221100,2023,4,2.01,97,0,87,0,1
20221101,2022,4,3.56,80,0,81,1,0
20221102,2023,8,2.85,83,0,78,0,0
20221103,2021,8,3.45,43,4,75,1,0
20221104,2022,8,3.51,116,3,65,1,1
20221105,2021,8,3.66,107,0,96,1,0
20221106,2023,8,3.7,46,2,90,1,0
20221107,2023,8,2.91,85,1,93,0,0
20221108,2023,7,2.48,48,3,90,1,0
20221109,2021,8,3.72,126,3,70,0,1
20221110,2021,5,2.89,72,4,95,1,1
20221111,2021,5,1.93,72,3,65,1,1
20221112,2021,6,3.09,123,4,86,0,1
20221113,2023,7,2.98,43,4,66,1,1
20221114,2023,4,3.59,104,2,91,0,0
20221115,2022,2,3.11,73,0,67,1,0
20221116,2022,8,2.5,130,3,92,0,1
20221117,2021,6,3.73,124,0,74,1,0
20221118,2023,2,3.4,127,0,86,1,0
20221119,2023,5,3.06,118,0,89,1,0
20221120,2023,6,2.39,138,4,81,1,1
20221121,2022,6,2.55,103,0,88,1,0
20221122,2022,3,3.14,64,3,89,0,1
20221123,2023,5,1.94,94,4,61,0,1
20221124,2023,5,2.31,48,3,74,0,1
20221125,2023,7,3.23,56,4,86,1,1
20221126,2022,6,2.76,60,1,66,1,0
20221127,2023,8,2.6,99,1,86,1,0
20221128,2023,5,2.1,52,1,80,0,1
20221129,2021,6,2.68,42,1,72,0,1
20221130,2021,7,3.34,107,4,76,0,1
20221131,2022,8,2.33,43,0,70,1,1
20221132,2023,7,1.81,131,2,69,1,1
20221133,2023,3,3.14,46,2,92,0,0
20221134,2021,8,3.75,65,1,73,0,1
20221135,2022,6,3.01,114,0,96,0,0
20221136,2021,5,2.04,63,3,67,0,1
20221137,2021,5,2.44,49,0,92,1,0
20221138,2021,6,3.54,52,3,66,0,1
20221139,2021,6,2.27,83,2,93,1,0
20221140,2023,6,3.02,78,0,66,1,0
20221141,2023,4,2.61,58,0,66,1,0
20221142,2021,8,2.22,90,2,95,1,0
20221143,2022,5,3.43,58,0,66,1,0
20221144,2022,8,3.29,115,3,79,1,0
20221145,2022,7,3.12,91,0,77,0,0
20221146,2022,5,2.27,125,3,73,0,1
20221147,2021,4,2.0,86,1,99,0,1
20221148,2023,6,2.95,69,0,73,0,1
20221149,2022,3,2.91,85,3,80,1,0
20221150,2021,6,2.18,115,2,86,0,1
20221151,2022,6,1.91,132,1,85,1,0
20221152,2022,4,1.96,60,0,86,0,1
20221153,2021,8,3.79,114,3,83,0,1
20221154,2023,5,3.37,87,0,64,1,0
20221155,2023,6,3.64,101,3,97,1,0
20221156,2021,5,2.19,97,0,87,0,1
20221157,2023,2,3.72,57,1,91,0,0
20221158,2021,7,2.09,98,1,83,1,1
20221159,2021,8,2.82,130,0,65,1,0
20221160,2021,5,3.46,87,0,69,1,0
20221161,2023,3,2.5,102,4,62,1,1
20221162,2021,7,2.65,51,0,66,1,0
20221163,2022,3,2.06,126,0,88,1,0
20221164,2023,6,2.05,73,1,93,1,0
20221165,2023,7,3.04,100,0,66,1,0
20221166,2023,5,3.15,126,2,76,1,0
20221167,2023,7,3.35,92,0,72,1,0
20221168,2022,6,2.91,64,4,80,0,1
20221169,2023,4,3.09,101,3,90,1,0
20221170,2023,8,1.83,43,1,68,1,1
20221171,2021,3,2.12,133,2,72,0,1
20221172,2023,6,3.77,133,3,76,1,0
20221173,2022,4,1.95,52,2,67,0,1
20221174,2022,7,3.16,81,1,68,1,0
20221175,2022,7,2.15,88,4,68,0,1
20221176,2022,6,3.23,117,1,99,1,0
20221177,2023,5,3.21,95,2,89,0,0
20221178,2023,7,2.27,86,2,66,0,1
20221179,2022,5,2.34,47,1,76,1,0
20221180,2022,5,3.11,94,0,98,1,0
20221181,2023,8,2.58,127,1,97,0,0
20221182,2022,5,2.19,57,4,64,0,1
20221183,2021,2,3.26,74,1,76,0,0
20221184,2022,8,2.11,128,3,99,1,1
20221185,2022,4,3.51,120,0,60,0,1
20221186,2021,4,2.83,71,3,75,0,1
20221187,2021,7,2.01,63,1,76,0,1
20221188,2023,7,3.19,46,0,89,0,0
20221189,2023,5,2.84,52,3,90,1,0
20221190,2021,8,2.4,130,3,94,1,0
20221191,2021,8,2.65,108,0,67,0,1
20221192,2023,2,2.4,139,0,89,1,0
20221193,2022,5,2.33,129,2,98,1,0
20221194,2021,2,2.13,81,0,80,0,1
20221195,2023,5,2.53,70,1,74,0,1
20221196,2022,3,2.3,113,4,93,1,1
20221197,2021,3,3.17,65,2,86,1,0
20221198,2022,6,3.17,125,0,61,0,1
20221199,2023,5,2.8,115,4,69,0,1
20221200,2021,8,3.36,71,2,64,0,1
20221201,2022,7,3.48,130,1,86,0,0
20221202,2021,4,2.96,136,4,63,0,1
20221203,2022,6,3.04,91,0,72,1,0
20221204,2023,7,2.37,59,0,76,0,1
20221205,2023,3,3.59,79,1,80,0,0
20221206,2021,5,1.85,98,2,82,0,1
20221207,2022,6,2.5,116,4,92,0,1
20221208,2021,5,3.24,53,1,74,1,0
20221209,2021,3,1.96,83,2,73,1,1
20221210,2022,6,2.17,125,3,68,1,1
